t_s,t_after_step_s,delta_rad,omega_pu,freq_hz,speed_rpm,Pm_mw,Pm_pu,Pe_mw,Pe_pu,Pe_demand_mw,valve_pu,P_fuel_pu,fsrn_pu,fsra_pu,fsrt_pu,fsr_pu,fuel_kg_s,cum_fuel_kg,active_branch
1.18,-3.8200000000000003,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527484286597055,0.5484848484848485,0.7784778821960817,0.9186039009913762,0
1.2,-3.8,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527485540048697,0.5484848484848485,0.7784778821960817,0.9341734586352979,0
1.22,-3.7800000000000002,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527484310118239,0.5484848484848485,0.7784778821960817,0.9497430162792195,0
1.24,-3.76,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527484070151713,0.5484848484848485,0.7784778821960817,0.9653125739231412,0
1.26,-3.74,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527486213787622,0.5484848484848485,0.7784778821960817,0.9808821315670628,0
1.28,-3.7199999999999998,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.552748542977243,0.5484848484848485,0.7784778821960817,0.9964516892109845,0
1.3,-3.7,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527482800252776,0.5484848484848485,0.7784778821960817,1.0120212468549061,0
1.32,-3.6799999999999997,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527484630498992,0.5484848484848485,0.7784778821960817,1.0275908044988278,0
1.34,-3.66,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.552748597207344,0.5484848484848485,0.7784778821960817,1.0431603621427494,0
1.36,-3.6399999999999997,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527483611895251,0.5484848484848485,0.7784778821960817,1.058729919786671,0
1.3800000000000001,-3.62,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527483830270318,0.5484848484848485,0.7784778821960817,1.0742994774305927,0
1.4000000000000001,-3.5999999999999996,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527485961432952,0.5484848484848485,0.7784778821960817,1.0898690350745144,0
1.42,-3.58,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527484443640184,0.5484848484848485,0.7784778821960817,1.1054385927184358,0
1.44,-3.56,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527483199870636,0.5484848484848485,0.7784778821960817,1.1210081503623575,0
1.46,-3.54,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527485884901594,0.5484848484848485,0.7784778821960817,1.136577708006279,0
1.48,-3.52,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527485431629937,0.5484848484848485,0.7784778821960817,1.1521472656502008,0
1.5,-3.5,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527482726476065,0.5484848484848485,0.7784778821960817,1.1677168232941224,0
1.52,-3.48,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527485029451578,0.5484848484848485,0.7784778821960817,1.183286380938044,0
1.54,-3.46,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527486385132386,0.5484848484848485,0.7784778821960817,1.1988559385819657,0
1.56,-3.44,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527483373580977,0.5484848484848485,0.7784778821960817,1.2144254962258874,0
1.58,-3.42,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.552748338068364,0.5484848484848485,0.7784778821960817,1.229995053869809,0
1.6,-3.4,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.552748634329333,0.5484848484848485,0.7784778821960817,1.2455646115137307,0
1.62,-3.38,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527484585943119,0.5484848484848485,0.7784778821960817,1.2611341691576523,0
1.6400000000000001,-3.36,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527482425442689,0.5484848484848485,0.7784778821960817,1.276703726801574,0
1.6600000000000001,-3.34,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527485544811015,0.5484848484848485,0.7784778821960817,1.2922732844454956,0
1.68,-3.3200000000000003,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.552748529274234,0.5484848484848485,0.7784778821960817,1.307842842089417,0
1.7,-3.3,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527482690198495,0.5484848484848485,0.7784778821960817,1.3234123997333387,0
1.72,-3.2800000000000002,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527484983684695,0.5484848484848485,0.7784778821960817,1.3389819573772603,0
1.74,-3.26,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527485657015916,0.5484848484848485,0.7784778821960817,1.354551515021182,0
1.76,-3.24,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527483266996194,0.5484848484848485,0.7784778821960817,1.3701210726651036,0
1.78,-3.2199999999999998,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527484502733555,0.5484848484848485,0.7784778821960817,1.3856906303090253,0
1.8,-3.2,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.552748607701123,0.5484848484848485,0.7784778821960817,1.401260187952947,0
1.82,-3.1799999999999997,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527483989400399,0.5484848484848485,0.7784778821960817,1.4168297455968686,0
1.84,-3.16,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527483481837847,0.5484848484848485,0.7784778821960817,1.4323993032407902,0
1.86,-3.1399999999999997,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527486265873215,0.5484848484848485,0.7784778821960817,1.4479688608847119,0
1.8800000000000001,-3.12,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527485177681895,0.5484848484848485,0.7784778821960817,1.4635384185286335,0
1.9000000000000001,-3.0999999999999996,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527482394650569,0.5484848484848485,0.7784778821960817,1.4791079761725552,0
1.92,-3.08,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.552748532697227,0.5484848484848485,0.7784778821960817,1.4946775338164766,0
