t_s,t_after_step_s,delta_rad,omega_pu,freq_hz,speed_rpm,Pm_mw,Pm_pu,Pe_mw,Pe_pu,Pe_demand_mw,valve_pu,P_fuel_pu,fsrn_pu,fsra_pu,fsrt_pu,fsr_pu,fuel_kg_s,cum_fuel_kg,domega_dt_pu_s
27.0,22.0,114.36718302849124,1.0115096724265575,60.69058034559345,3641.434820735607,8.19044315287621,0.3561062240380961,8.138116069118691,0.3538311334399431,8.0,0.4443403204043281,0.44418754770394053,0.4452396487737702,0.4462718803011751,0.45086012136554654,0.4452396487737702,0.6304461871456544,18.740433915402456,0.0004059901420490064
27.01,22.01,114.41058132693269,1.0115138917672661,60.69083350603597,3641.4500103621585,8.194494605772324,0.35628237416401404,8.138166701207194,0.3538333348350954,8.0,0.4443975817736841,0.4443612200511729,0.4452164549884839,0.44624625109336996,0.4508432133439671,0.4452164549884839,0.6306926845310297,18.74673960976084,0.0004370569751159792
27.02,22.02,114.45399610725872,1.01151841356606,60.6911048139636,3641.4662888378157,8.19833992524791,0.35644956196730043,8.138220962792719,0.353835694034466,8.0,0.4444495517950149,0.4445310726716585,0.44519014254161193,0.4462186717119972,0.4508229236578226,0.44519014254161193,0.6309337604853542,18.75304774198592,0.0004664955069912935
27.03,22.03,114.4974284791162,1.011523221677406,60.69139330064436,3641.4835980386615,8.201982566301199,0.35660793766526955,8.138278660128872,0.35383820261429877,8.0,0.4444963756700957,0.4446970620561486,0.4451608664091303,0.4461885251820986,0.4507994103579691,0.4451608664091303,0.6311693532548937,18.759358257554624,0.0004943337128153757
27.04,22.04,114.54087949165942,1.0115283002403164,60.69169801441898,3641.501880865139,8.205426097105796,0.3567576563959042,8.138339602883796,0.35384085229929546,8.0,0.4445381992050711,0.44485915074733967,0.4451287790820514,0.44615403277203464,0.45077282920750056,0.4451287790820514,0.6313994096755858,18.765671101369275,0.0005206008935019213
27.05,22.05,114.58435013529478,1.011533633695276,60.692018021716564,3641.521081302994,8.208674182973166,0.3568988775205725,8.138403604343313,0.3538436349714484,8.0,0.4445751684314661,0.44501730703735526,0.44509403038630335,0.4461169338287971,0.45074333348532053,0.44509403038630335,0.631623884743671,18.771986217841373,0.000545327271758822
27.060000000000002,22.060000000000002,114.62784134223747,1.0115392067857516,60.692352407145094,3641.5411444287056,8.211730583201062,0.35703176448700275,8.13847048142902,0.35384654267082694,8.0,0.4446074295412979,0.4451715048890316,0.4450567674642449,0.4460797791421982,0.4507110739611147,0.4450567674642449,0.6318427415039695,18.778303550972613,0.0005685431516724293
27.07,22.07,114.67135398723039,1.0115450045583094,60.692700273498566,3641.562016409914,8.214599147935333,0.35715648469284056,8.138540054699714,0.35384956759563974,8.0,0.4446351288293909,0.44532172384278634,0.4450171347691432,0.4460387796592033,0.45067619887923316,0.4450171347691432,0.6320559509176985,18.78462304443472,0.0005902796134620303
27.080000000000002,22.080000000000002,114.71488888964956,1.0115510123780207,60.69306074268124,3641.5836445608743,8.217283801367918,0.35727320875512686,8.138612148536248,0.35385270211027164,8.0,0.4446584123084543,0.44546794867497547,0.4449752738981221,0.4459932662866034,0.450638853775954,0.4449752738981221,0.63226349137757,18.7909446416462,0.0006105688026067924
27.09,22.09,114.75844681455708,1.0115572159343615,60.69343295606169,3641.6059773637016,8.219788534243888,0.3573821101845169,8.138686591212338,0.3538559387483625,8.0,0.44467742554265055,0.4456101692352648,0.44493132352669074,0.44594796565098,0.450599181405313,0.44493132352669074,0.6324653484769677,18.79726828584547,0.0006294430742244117
27.1,22.1,114.80202847331832,1.011563601239505,60.693816074370304,3641.6289644622184,8.222117402098728,0.3574833653086404,8.13876321487406,0.35385927021191566,8.0,0.44469231362410244,0.4457483803754504,0.4448854194221298,0.44590196559081613,0.4505573217435964,0.4448854194221298,0.6326615149089208,18.8035939201624,0.000646934981894276
27.11,22.11,114.84563452505685,1.0115701546339995,60.69420927803997,3641.6525566823984,8.22427451617145,0.3575771528770196,8.138841855607993,0.3538626893742605,8.0,0.4447032209782691,0.4458825817365511,0.44483769437781656,0.44585191781426836,0.450513411912493,0.44483769437781656,0.6328519901639185,18.809921487687763,0.0006630777520229003
